recommendationid,author,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,hidden_in_steam_china,steam_china_location
160814611,"{'steamid': '76561198095926662', 'num_games_owned': 612, 'num_reviews': 21, 'playtime_forever': 54, 'playtime_last_two_weeks': 54, 'playtime_at_review': 23, 'last_played': 1710809210}",english,This game is awesome and I really enjoy it. great for small sit downs,1710727090,1710727090,True,0,0,0,0,True,False,False,True,
158933255,"{'steamid': '76561198075767343', 'num_games_owned': 3659, 'num_reviews': 500, 'playtime_forever': 785, 'playtime_last_two_weeks': 0, 'playtime_at_review': 785, 'last_played': 1664595914}",brazilian,"Provavelmente o melhor jogo do gênero, pelo menos o mais agradável.
Tem uma quantidade boa de níveis e a dificuldade progressivo, mas o grind pode ser um pouco a mais.

Infelizmente não pega mais promoção, assim como a primeira versão do jogo, mas já custa menos de R$5",1708562226,1708562226,True,4,0,0.561445295810699463,0,False,True,False,True,
157407027,"{'steamid': '76561197972860008', 'num_games_owned': 1719, 'num_reviews': 242, 'playtime_forever': 2033, 'playtime_last_two_weeks': 0, 'playtime_at_review': 2011, 'last_played': 1709482931}",english,"[h1] AT A GLANCE [/h1]
(Full review follows below)

[list]
[*][b] Game Name: [/b] Fortix 2
[*][b] Original Release: [/b] 2011-05-06
[*][b] Genre Tags: [/b] Casual, Logic, Puzzle
[*][b] Estimated Playtime (Campaign): [/b] 7-8 hours
[*][b] 100% Achievements Playtime: [/b] 18-20 hours
[*][b] DLC Required for 100% Achievements: [/b] No
[*][b] Multiplayer Aspect: [/b] None
[*][b] Replayability: [/b] Some
[*][b] Recommended To: [/b] Casual Gamers, Achievement Hunters
[/list]

[h1] REVIEW [/h1]
[b] Fortix 2[/b] is a casual, logic puzzle game. It is the second game in the Fortix series.

The game mechanics have you try and take over as much of the board as possible and avoid all the other creatures or obstacles. You can capture or remove enemies from the board by having them on the side that is captured.

The game is not that complicated until you attempt “impossible” difficulty. Some of these maps will require multiple playthroughs in order to get a perfect rating. Play time for this game is ~7-8 hours to complete the main campaign on a single difficulty, ~18-20 if you want to 100% every difficulty and ~18-20 hours to get all achievements. Achievement hunting requires playing the game over and over at different difficulties. Impossible must be done with a perfect rating, and is by far what will take a bulk of your time grinding. The game has no replayability, unless you are just nostalgic for the game and want to beat it all again. I recommend this game to anyone that likes casual puzzle games or is an achievement hunter.",1706879404,1706879404,True,0,0,0,0,True,False,False,True,
155504279,"{'steamid': '76561198013679300', 'num_games_owned': 0, 'num_reviews': 3, 'playtime_forever': 262, 'playtime_last_two_weeks': 0, 'playtime_at_review': 245, 'last_played': 1704779174}",russian,"почти 30 лет назад в подобных играх открывали изображения полуголых (либо голых) барышень, время прошло, любовь к незатейлевому гемплею осталась и гхыр с ними с барышнями )))",1704657512,1704657512,True,0,0,0,0,True,False,False,True,
152644245,"{'steamid': '76561198042317098', 'num_games_owned': 0, 'num_reviews': 852, 'playtime_forever': 13, 'playtime_last_two_weeks': 0, 'playtime_at_review': 13, 'last_played': 1701433453}",polish,3/10,1701433469,1701433469,False,0,0,0,0,False,False,False,True,
152246699,"{'steamid': '76561198009324469', 'num_games_owned': 475, 'num_reviews': 7, 'playtime_forever': 1714, 'playtime_last_two_weeks': 0, 'playtime_at_review': 1714, 'last_played': 1700780339}",english,"6.0/10
Prepare to use these arrows keys!

Gameplay : 7/10 (Repetitive but hide some cute bonus content)
Story : 5/10 (None except some screen text for new enemies)
Music : 6/10 (Simple Fantasy Backgound Music) (+1 for sound effect when you capture enemies... ooff.. got you !)
Graphics : 5/10 (Drawing of each region is cute and immersive but that's it)
Replayability : 7/10 (After beating impossible mode you'll want to stay away from this game)

Pro
- The learning curve is not steap and if a good challenge if you want to do it at 100% Satisfaction guaranteed.

Con
- The powerup does help a bit but there's no way to make them last longer or upgrade them (That would make the game too easy, so it's OK then....)

Tips : Use the keyboard for quick come back on your line and do little steps at the time to conquer that dragon master...whatever it's name.",1701099191,1701099325,True,0,0,0,0,True,False,False,True,
149749801,"{'steamid': '76561198007627220', 'num_games_owned': 0, 'num_reviews': 164, 'playtime_forever': 448, 'playtime_last_two_weeks': 0, 'playtime_at_review': 447, 'last_played': 1699536111}",russian,"[h1]Сэру Фортиксу снова предстоит спасать королевство.[/h1]

Рыцарь Фортикс, освободив Фортиану от злого Кситрофа, отправился отдохнуть на остров Арталом. А там снова Кситроф! Захватил остров, понастроил фортификаций с башнями, и добавил к своим драконам ещё и орков с ограми. Нам предстоит освободить остров и разрушить крепости Кситрофа.

Сэр Фортикс ходит по чужой земле, отмечая границы своих будущих владений. Если ему удаётся добраться до своих границ, то отхваченная территория становиться его. На захваченных землях может оказаться что-нибудь полезное. Например, катапульта, которая стреляет по вражеским башням или бонусы, заметно облегчающие жизнь герою. Территория бывает разной – по траве и дорогам идти быстро и приятно, а вот болото или вода сильно замедляют движение, что надо учитывать. Мешать рыцарю будут драконы и башни. Если противник дотронется до вашей линии, то герой теряет жизнь. Первые драконы просто летают по уровню, а башенки иногда постреливают в вашу сторону. Зато потом появляются огнедышащие драконы, башен становиться гораздо больше и некоторые стреляют самонаводящимися снарядами! Со временем на уровнях появляются непроходимые стены, которые придётся как-то обходить, а потом в них появятся ворота, открываемые ключами, до которых тоже надо добраться. Финальные уровни начинают напоминать лабиринт, весьма нудный лабиринт. Уровней в игре немало, но, если вам их покажется недостаточно, то есть ещё набор уровней из первой части, а ещё режим зомби, немного меняющий механику.

https://steamcommunity.com/sharedfiles/filedetails/?id=3077405233

Картинка в игре простенькая, но приятная, яркая и разнообразная. Мы с равнин перейдём к снежным предгорьям и попадём потом к вулкану. Крепости и противники тоже со временем меняются. Музыка геройская и незамысловатая. Звуки есть.

Интересная аркада, в которую можно поиграть под настроение. Достижения, кстати не простые, подойдут для любителей испытаний.",1699436043,1699604911,True,21,2,0.663816928863525391,4,False,False,False,True,
149543149,"{'steamid': '76561197982490998', 'num_games_owned': 0, 'num_reviews': 487, 'playtime_forever': 2904, 'playtime_last_two_weeks': 0, 'playtime_at_review': 2774, 'last_played': 1699450964}",french,"Sur le principe de QIx... un principe simple et addictif.
bien fait et divertissant, un jeu réussi.",1699132872,1699132872,True,0,0,0,0,False,False,False,True,
149169557,"{'steamid': '76561198304880726', 'num_games_owned': 6575, 'num_reviews': 1717, 'playtime_forever': 8, 'playtime_last_two_weeks': 0, 'playtime_at_review': 8, 'last_played': 1698631930}",english,Not really tower defense but I'm enjoying sectioning off land with my lines!,1698631972,1698631972,True,0,0,0,0,False,False,False,True,
148482008,"{'steamid': '76561198831451273', 'num_games_owned': 0, 'num_reviews': 1, 'playtime_forever': 348, 'playtime_last_two_weeks': 0, 'playtime_at_review': 261, 'last_played': 1701355873}",english,"Fortix 2 is an accessible and enjoyable arcade game, perfect for casual players. It provides hours of replayability with numerous levels to conquer. However, it doesn't offer much innovation in terms of gameplay and strategies compared to the first Fortix. While it retains the charm and simplicity of its predecessor, it might feel familiar and lacking a fresh twist for those who've played the original. Despite this, for players looking for a classic arcade experience with updated visuals, Fortix 2 still offers solid entertainment and a chance to conquer territory in an enchanting fantasy world.",1697715469,1697715469,True,1,0,0.523809552192687988,0,True,False,False,True,
143162640,"{'steamid': '76561198310035948', 'num_games_owned': 706, 'num_reviews': 1399, 'playtime_forever': 267, 'playtime_last_two_weeks': 0, 'playtime_at_review': 267, 'last_played': 1615276333}",english,👍,1690831893,1690831893,True,0,0,0,0,False,False,False,True,
142374142,"{'steamid': '76561198018246949', 'num_games_owned': 1965, 'num_reviews': 1200, 'playtime_forever': 317, 'playtime_last_two_weeks': 0, 'playtime_at_review': 317, 'last_played': 1509528343}",english,"It's identical to Fortix 1, which was already a Qix clone. Outclassed by many other titles that do the same thing.",1689725772,1689725772,False,0,0,0,0,True,False,False,True,
140692227,"{'steamid': '76561198102567286', 'num_games_owned': 864, 'num_reviews': 93, 'playtime_forever': 373, 'playtime_last_two_weeks': 0, 'playtime_at_review': 350, 'last_played': 1687741101}",english,"If you want a simple game to play that gets really difficult at times, but in a fair way. This game fits that outline really well. One of my favourite genre of game for playing while you watch something you don't want to look at on TV. This game has kept bringing me back for a few minutes here and there for years now.",1687721343,1687721343,True,0,0,0,0,False,False,False,True,
136296010,"{'steamid': '76561197960783864', 'num_games_owned': 464, 'num_reviews': 130, 'playtime_forever': 782, 'playtime_last_two_weeks': 0, 'playtime_at_review': 782, 'last_played': 1680899232}",english,"As other reviews have pointed out, this is in no way a reverse tower defense game. It's a take on the old Qix and Xonix games where you carve lines out of the level and capture the smallest piece. Not terribly interesting or challenging.",1680899408,1680899408,False,0,0,0,0,False,False,False,True,
132560438,"{'steamid': '76561198018749995', 'num_games_owned': 0, 'num_reviews': 41, 'playtime_forever': 317, 'playtime_last_two_weeks': 0, 'playtime_at_review': 243, 'last_played': 1676498349}",english,"Combines the play mechanics of the old school game Qix with a fantasy theme where you have to unlock catapults to destroy bunkers making the ultimate goal of capturing all the items needed to ""beat"" the castle.  Also there are dragons!! Fun game.",1676066145,1676066145,True,0,0,0,0,False,False,False,True,
129062726,"{'steamid': '76561198258702242', 'num_games_owned': 0, 'num_reviews': 94, 'playtime_forever': 183, 'playtime_last_two_weeks': 0, 'playtime_at_review': 183, 'last_played': 1671762009}",schinese,挺有意思的,1671762055,1671762055,True,0,0,0,0,False,False,False,True,
128236573,"{'steamid': '76561198030170536', 'num_games_owned': 1868, 'num_reviews': 56, 'playtime_forever': 17, 'playtime_last_two_weeks': 0, 'playtime_at_review': 17, 'last_played': 1670606233}",english,"The game crashes after each victory (but it is saved so you can play after restarting the game). 
Once they fix it, it will be as good as the first episode.",1670606320,1670606320,True,0,1,0,0,True,False,False,True,
125180879,"{'steamid': '76561197985788085', 'num_games_owned': 1526, 'num_reviews': 68, 'playtime_forever': 94, 'playtime_last_two_weeks': 0, 'playtime_at_review': 5, 'last_played': 1671069931}",english,"I don't remember buying this.

10/10.",1667959037,1667959037,True,2,0,0.544688045978546143,0,False,False,False,True,
124090279,"{'steamid': '76561198035161842', 'num_games_owned': 1432, 'num_reviews': 126, 'playtime_forever': 1033, 'playtime_last_two_weeks': 0, 'playtime_at_review': 1033, 'last_played': 1664973292}",english,"Simple yet catchy game, the whole game is about capturing territory while dodging turrets and enemies, not much action, but still pretty fun.

[b]Playtime:[/b] 1 hour+

[b]Achievements:[/b] Can get challenging*

[b]Overall:[/b] Worth a try

*Thanks to save editing you can bypass most of the challenge, there is a Steam Guide that will help you with that. 
I, unfortunately, found it after raging for several hours and completing the impossible perfect run legitimately, but then used it for the zombie mode to make my life a bit easier.",1666219143,1666219143,True,0,0,0,0,True,False,False,True,
123773473,"{'steamid': '76561198013749919', 'num_games_owned': 0, 'num_reviews': 1, 'playtime_forever': 268, 'playtime_last_two_weeks': 0, 'playtime_at_review': 268, 'last_played': 1665673613}",english,"Fun little game, but I would not describe it as a reverse tower defense game. You take over areas by walling them off while avoiding death.",1665673706,1665673706,False,0,0,0,0,True,False,False,True,
123760820,"{'steamid': '76561198008337684', 'num_games_owned': 1617, 'num_reviews': 33, 'playtime_forever': 152, 'playtime_last_two_weeks': 0, 'playtime_at_review': 152, 'last_played': 1412891093}",english,We need a new episode!,1665649731,1665649731,True,0,0,0,0,False,False,False,True,
120297183,"{'steamid': '76561198047097123', 'num_games_owned': 2560, 'num_reviews': 80, 'playtime_forever': 637, 'playtime_last_two_weeks': 0, 'playtime_at_review': 198, 'last_played': 1687321363}",brazilian,gg,1659992298,1659992298,True,0,0,0,0,False,False,False,False,
116395704,"{'steamid': '76561197970170455', 'num_games_owned': 1371, 'num_reviews': 86, 'playtime_forever': 213, 'playtime_last_two_weeks': 0, 'playtime_at_review': 197, 'last_played': 1654206744}",english,just want to chop off more,1654205694,1654205694,True,0,0,0,0,True,False,False,False,
116348244,"{'steamid': '76561198013914001', 'num_games_owned': 1990, 'num_reviews': 904, 'playtime_forever': 405, 'playtime_last_two_weeks': 0, 'playtime_at_review': 151, 'last_played': 1702756589}",brazilian,"Estilo de jogo de conquista de territorio por 'fatiar' (slice) do terreno.  Faria muito tempo que não via esse tipo de jogo.
Achei o jogo criativo, desafiador e divertido!",1654114027,1654114027,True,0,0,0,0,False,False,False,False,
116321681,"{'steamid': '76561198013941066', 'num_games_owned': 3717, 'num_reviews': 88, 'playtime_forever': 270, 'playtime_last_two_weeks': 0, 'playtime_at_review': 270, 'last_played': 1654064243}",english,It's a good game,1654064264,1654064264,True,0,0,0,0,False,False,False,False,
109079802,"{'steamid': '76561198049498441', 'num_games_owned': 5235, 'num_reviews': 434, 'playtime_forever': 232, 'playtime_last_two_weeks': 0, 'playtime_at_review': 232, 'last_played': 1643521886}",koreana,"사람에겐 얼마만큼의 땅이 필요한가 (욕심부리다가 눈 앞에 파이어볼 날아옴)

동화같은 색감의 땅따먹기 게임.
나중가면 탄막도 피해야하는 스테이지에 오게 되는데
그냥 욕심부리지 말고 천천히 쪼끔씩 땅을 먹으면 금방 클리어합니다.

울타리같은 장애물 때문에 땅 먹는 부분도 쪼금 생각하면서 플레이해야하고
무엇보다 부담없이 즐길 수 있다는게 매력입니다.

재미있어요 추천드립니다!


",1643522310,1643522310,True,0,0,0,0,False,False,False,False,
