recommendationid,author,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,hidden_in_steam_china,steam_china_location,timestamp_dev_responded,developer_response
162372960,"{'steamid': '76561198159661280', 'num_games_owned': 115, 'num_reviews': 22, 'playtime_forever': 948, 'playtime_last_two_weeks': 948, 'playtime_at_review': 948, 'last_played': 1712445957}",english,"Would 100% reccomend, a very charming game and with damn good music, the OST is deffo going into my chill playlist lmao

Writing does kinda fall short story-wise, but otherwise is a spectacular game!",1712446036,1712446036,True,0,0,0,0,False,False,False,True,,,
162356884,"{'steamid': '76561198273968533', 'num_games_owned': 43, 'num_reviews': 13, 'playtime_forever': 980, 'playtime_last_two_weeks': 416, 'playtime_at_review': 921, 'last_played': 1712433795}",brazilian,"Perfeito <3
amo",1712429555,1712429555,True,0,0,0,0,True,False,False,True,,,
162321756,"{'steamid': '76561198033263509', 'num_games_owned': 2923, 'num_reviews': 570, 'playtime_forever': 1313, 'playtime_last_two_weeks': 1090, 'playtime_at_review': 1313, 'last_played': 1712394714}",russian,"Приятная  небольшая  игра,  в  которой  гармонично  сочетаются  прыжки  по  платформам,  прокачка  персонажа,  добыча  минералов,  сбор  артефактов,  прохождение  испытаний  и  сражения  с  противниками.  Иными  словами,  всё  то  же  самое,  что  было  в  первой  части  со  стилизованной,  цветастой  графикой  и  простеньким  сюжетом.  Выдать  по  кирке  каждому  свободному  роботу  и  вперёд…  точнее  вниз,  на  покорение  глубин  планеты,  некогда  принадлежащей  мясным  мешкам,  в  поисках  источника  таинственных  землетрясений!

Резюме:  копать,  копать,  копать!  Обожаю  это  дело!",1712395030,1712395030,True,5,0,0.592547833919525146,0,True,False,False,True,,,
162317592,"{'steamid': '76561198216973601', 'num_games_owned': 519, 'num_reviews': 198, 'playtime_forever': 1409, 'playtime_last_two_weeks': 1409, 'playtime_at_review': 1409, 'last_played': 1712388525}",english,"Very fun, pretty much every aspect of the original SteamWorld was improved upon
though our sun will implode before I have enough patience to get through ""The Ultimate Trial""

Image & Form Games has gained a fan after these two solid games, will certainly check out the rest of the franchise and any future instalments 
",1712389473,1712389473,True,0,0,0,0,False,False,False,True,,,
162293772,"{'steamid': '76561197970193418', 'num_games_owned': 0, 'num_reviews': 2215, 'playtime_forever': 260, 'playtime_last_two_weeks': 0, 'playtime_at_review': 260, 'last_played': 1680300093}",english,"⣿⣿⡻⠿⣳⠸⢿⡇⢇⣿⡧⢹⠿⣿⣿⣿⣿⣾⣿⡇⣿⣿⣿⣿⡿⡐⣯⠁ ⠄⠄
⠟⣛⣽⡳⠼⠄⠈⣷⡾⣥⣱⠃⠣⣿⣿⣿⣯⣭⠽⡇⣿⣿⣿⣿⣟⢢⠏⠄ ⠄
⢠⡿⠶⣮⣝⣿⠄⠄⠈⡥⢭⣥⠅⢌⣽⣿⣻⢶⣭⡿⠿⠜⢿⣿⣿⡿⠁⠄⠄
⠄⣼⣧⠤⢌⣭⡇⠄⠄⠄⠭⠭⠭⠯⠴⣚⣉⣛⡢⠭⠵⢶⣾⣦⡍⠁⠄⠄⠄⠄
⠄⣿⣷⣯⣭⡷⠄⠄⢀⣀⠩⠍⢉⣛⣛⠫⢏⣈⣭⣥⣶⣶⣦⣭⣛⠄⠄⠄⠄⠄
⢀⣿⣿⣿⡿⠃⢀⣴⣿⣿⣿⣎⢩⠌⣡⣶⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣆⠄⠄⠄
⢸⡿⢟⣽⠎⣰⣿⣿⣿⣿⣿⣿⢀⣾⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣦⠄⠄
⣰⠯⣾⢅⣼⣿⣿⣿⣿⣿⣿⡇⣾⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⡄⠄
⢰⣄⡉⣼⣿⣿⣿⣿⣿⣿⣿⢸⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣧⠄
⢯⣌⢹⣿⣿⣿⣿⣿⣿⣿⣿⢸⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⠄
⢸⣇⣽⣿⣿⣿⣿⣿⣿⣿⣿⠸⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⠄
⢸⣟⣧⡻⣿⣿⣿⣿⣿⣿⣿⣧⡻⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⠄
⠈⢹⡧⣿⣸⠿⢿⣿⣿⣿⣿⡿⠗⣈⠻⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⡇⠄
⠄⠘⢷⡳⣾⣷⣶⣶⣶⣶⣶⣾⣿⣿⢀⣶⣶⣶⣾⣿⣿⣿⣿⣿⣿⣿⣿⣿⠇⠄
⠄⠄⠈⣵⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⢸⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⠄⠄
⠄⠄⠄⠸⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⠘⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⠇⠄⠄",1712357362,1712357362,True,2,0,0.539295375347137451,0,True,False,False,True,,,
162253461,"{'steamid': '76561199561770885', 'num_games_owned': 0, 'num_reviews': 1, 'playtime_forever': 1330, 'playtime_last_two_weeks': 1, 'playtime_at_review': 1330, 'last_played': 1712316817}",english,"It's a very fun game and gives off loads of good vibes, recommended to people who like platformer games and who like digging",1712317328,1712317328,True,0,0,0,0,True,False,False,True,,,
162231567,"{'steamid': '76561197983199007', 'num_games_owned': 0, 'num_reviews': 36, 'playtime_forever': 868, 'playtime_last_two_weeks': 868, 'playtime_at_review': 868, 'last_played': 1712285589}",english,I enjoyed this game a lot more then I thought I would. It's a solid game that was fun enough for me to finish it.,1712286138,1712286138,True,0,0,0,0,True,False,False,True,,,
162010108,"{'steamid': '76561198196999725', 'num_games_owned': 129, 'num_reviews': 20, 'playtime_forever': 2182, 'playtime_last_two_weeks': 0, 'playtime_at_review': 2182, 'last_played': 1674382982}",schinese,"为什么不出3？为什么有钱不赚？为什么全在做别的游戏类型？
[b]别瞎忙活了快出续作！！！[/b]
[h3]模模糊糊的印象评分：8/10[/h3]",1712045013,1712045013,True,0,0,0,0,True,False,False,True,,,
161985592,"{'steamid': '76561199645202916', 'num_games_owned': 26, 'num_reviews': 4, 'playtime_forever': 900, 'playtime_last_two_weeks': 900, 'playtime_at_review': 900, 'last_played': 1712009883}",english,Fantastic game for the Steam Deck. I’d recommend getting the first one as it’s also great and usually cheaper. This second one takes it to another level with new features and gameplay. Hopefully there will be a third.,1712012153,1712012153,True,0,0,0,0,True,False,False,True,,,
161945962,"{'steamid': '76561197987840757', 'num_games_owned': 0, 'num_reviews': 110, 'playtime_forever': 862, 'playtime_last_two_weeks': 671, 'playtime_at_review': 596, 'last_played': 1712426666}",english,The first game was a gem. This one is a whole crown. Basically the same game just better in every way possible. Lots of quality of life improvements and... just lots more of everything.,1711972538,1711972538,True,1,0,0.52173912525177002,0,True,False,False,True,,,
