recommendationid,author,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,hidden_in_steam_china,steam_china_location,timestamp_dev_responded,developer_response
157381365,"{'steamid': '76561198950849945', 'num_games_owned': 0, 'num_reviews': 1, 'playtime_forever': 5280, 'playtime_last_two_weeks': 28, 'playtime_at_review': 2048, 'last_played': 1712110321}",english,"This is a game from my childhood. I played this game all the time when i was little, and i had a blast.
but now, i think its a good simulator game. theres many different things ytou can do in the game, but alot ofd the textures for various tanks and vehicles are missing, such as the m4a3e2, stug, hetzer, and many other vehicles. there is a bug where you will be invincible in the instant action and free flight missions, even with the option disabled. The mission editor as the ground glitch all the time, and takes a while to learn how it works. but despite these complaints, i still have fun with this game. my imagination still takes hold every time i play, and i often have more fun playing this than warthunder. i do seriously hope that this game gets an update, and it fixes all of these problems.",1706845995,1706845995,True,0,0,0,0,True,False,False,True,,,
154308002,"{'steamid': '76561199145688573', 'num_games_owned': 0, 'num_reviews': 3, 'playtime_forever': 1367, 'playtime_last_two_weeks': 0, 'playtime_at_review': 1341, 'last_played': 1703485645}",english,Great game,1703436036,1703436036,True,0,0,0,0,True,False,False,True,,,
138134497,"{'steamid': '76561198081293192', 'num_games_owned': 4734, 'num_reviews': 3864, 'playtime_forever': 28, 'playtime_last_two_weeks': 0, 'playtime_at_review': 28, 'last_played': 1510323625}",russian,нет,1683807749,1683807749,False,1,0,0.498480260372161865,0,True,False,False,True,,,
114801283,"{'steamid': '76561198839574603', 'num_games_owned': 0, 'num_reviews': 4, 'playtime_forever': 2222, 'playtime_last_two_weeks': 0, 'playtime_at_review': 2222, 'last_played': 1651438244}",english,good,1651438273,1651438273,True,0,0,0,0,True,False,False,False,,,
112650016,"{'steamid': '76561198156598301', 'num_games_owned': 0, 'num_reviews': 2, 'playtime_forever': 971, 'playtime_last_two_weeks': 0, 'playtime_at_review': 960, 'last_played': 1652198010}",english,eh,1647964724,1647964724,False,0,0,0.472440958023071289,0,True,False,False,False,,,
112463391,"{'steamid': '76561199236236511', 'num_games_owned': 0, 'num_reviews': 1, 'playtime_forever': 7134, 'playtime_last_two_weeks': 0, 'playtime_at_review': 539, 'last_played': 1658091212}",english,"Very realistic. Great variety of flight and vehicle choices. You can choose to fly bomber, fighter, or go ground with choices of fixed or mobile AA or tanks.",1647685294,1647685294,True,0,0,0,0,True,False,False,False,,,
112452419,"{'steamid': '76561199247163056', 'num_games_owned': 0, 'num_reviews': 1, 'playtime_forever': 54222, 'playtime_last_two_weeks': 0, 'playtime_at_review': 6642, 'last_played': 1682650998}",english,"Game is designed to work well with joystick, which makes it a more realistic flight.  There is a Teamspeak channel set up for players which is the best way to fly combat with team mates.  Players in game were very helpful in helping with learning game functions.  Great Game!!!",1647667603,1647667603,True,0,0,0,0,True,False,False,False,,,
107880968,"{'steamid': '76561198064625169', 'num_games_owned': 0, 'num_reviews': 26, 'playtime_forever': 348, 'playtime_last_two_weeks': 0, 'playtime_at_review': 209, 'last_played': 1709665347}",german,gut-kann-man-spielen,1642022515,1642022515,True,0,0,0,0,True,False,False,False,,,
105648545,"{'steamid': '76561198010136177', 'num_games_owned': 0, 'num_reviews': 7, 'playtime_forever': 442, 'playtime_last_two_weeks': 0, 'playtime_at_review': 218, 'last_played': 1706736115}",english,"It's fun, and you get to fly bombers.  For cheap!",1639239733,1639239733,True,0,0,0,0,True,False,False,False,,,
101256557,"{'steamid': '76561198130691347', 'num_games_owned': 269, 'num_reviews': 16, 'playtime_forever': 366, 'playtime_last_two_weeks': 0, 'playtime_at_review': 366, 'last_played': 1593110596}",german,"Ich hatte das erste Warbirds Spiel in den späten 1990ern bzw frühen 2000ern gekauft, damals noch als CD Version.

War schon damals ein tolles Spiel da so ziemlich alles kaputt gehen konnte was kaputt gehen kann^^. 

Inzwischen ist die Grafik und die Funktion zum damaligen Original allerdings schon stark fortgeschritten. Leider aber scheinen für bestimmte Online Funktionen extra Gebühren fällig zu sein. 

Aber es macht trotzdem total viel Spaß :-)
",1634576236,1634576236,True,0,0,0,0,True,False,False,False,,,
100576505,"{'steamid': '76561198366875630', 'num_games_owned': 0, 'num_reviews': 1, 'playtime_forever': 4294, 'playtime_last_two_weeks': 0, 'playtime_at_review': 4262, 'last_played': 1641349399}",english,"Game no longer works. Displays error ""unable to compile vertex shader"".",1633464452,1633464452,False,0,0,0,0,True,False,False,False,,,
96105131,"{'steamid': '76561198931799199', 'num_games_owned': 0, 'num_reviews': 1, 'playtime_forever': 587, 'playtime_last_two_weeks': 0, 'playtime_at_review': 215, 'last_played': 1682620067}",english,TRAINING IS VERY WELL THOUGHT OUT. Enjoyable experience.,1626827755,1626827755,True,0,0,0,0,True,True,False,False,,,
